"","file","folder","valid"
"150","jord001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"151","jord002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"152","jord003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"153","kore001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"154","kyrg001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"155","kyrg002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"156","kyrg003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"157","kyrg004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"158","kyrg005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"159","kyrg007.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"160","leba001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"161","leba002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"162","leba003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"163","leba004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"164","leba005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"165","leba006.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"166","ls001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"167","ls002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"168","mong001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"169","mong002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"170","mong003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"171","mong004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"172","mong005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"173","mong006.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"174","mong007e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"175","mong007i.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"176","mong007l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"177","mong007n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"178","mong007p.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"179","mong007t.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"180","mong007w.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"181","mong007x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"182","mong008.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"183","mong009.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"184","mong010.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"185","mong011.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"186","mong012.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"187","mong013.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"188","mong014.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"189","mong015.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"190","mong016.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"191","mong017.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"192","mong018.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"193","mong019.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"194","mong020.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"195","mong021.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"196","mong022.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"197","mong023.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"198","mong024.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"199","mong025.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"200","mong026.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"201","mong027.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"202","mong028.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"203","mong029.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"204","mong030.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"205","mong031.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"206","mong032.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"207","mong033.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"208","nepa001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"209","nepa001e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"210","nepa001i.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"211","nepa001l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"212","nepa001n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"213","nepa001p.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"214","nepa001t.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"215","nepa001x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"216","nepa002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"217","nepa002e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"218","nepa002i.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"219","nepa002l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"220","nepa002n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"221","nepa002p.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"222","nepa002t.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"223","nepa002x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"224","nepa003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"225","nepa004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"226","nepa005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"227","nepa006.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"228","nepa007.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"229","nepa008.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"230","nepa009.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"231","nepa010.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"232","nepa011.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"233","nepa012.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"234","nepa013.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"235","nepa014.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"236","nepa015.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"237","nepa016.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"238","nepa017.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"239","nepa018.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"240","nepa019.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"241","nepa020.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"242","nepa021.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"243","nepa022.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"244","nepa023.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"245","nepa024.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"246","nepa025.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"247","nepa026.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"248","nepa027.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"249","nepa028.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"250","nepa029.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"251","nepa030.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"252","nepa031.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"253","nepa032.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"254","nepa033.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"255","nepa034.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"256","nepa035.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"257","nepa036.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
