"","id","effect","type","model"
"1313",625,0.971014123185129,"T","rcs"
"1314",626,0.967912705537939,"T","rcs"
"1315",627,0.972895884926714,"T","rcs"
"1316",628,1.01525884472217,"T","rcs"
"1317",629,0.98245507643146,"T","rcs"
"1318",630,0.981578638171521,"T","rcs"
"1319",631,0.974266551061072,"T","rcs"
"1320",632,1.0110660240879,"T","rcs"
"1321",633,0.986033985326872,"T","rcs"
"1322",634,0.980188712916726,"T","rcs"
"1323",635,0.982158983418577,"T","rcs"
"1324",636,1.01429113748623,"T","rcs"
"1325",637,0.990257484621068,"T","rcs"
"1326",638,0.990611852207377,"T","rcs"
"1327",639,0.977095483025354,"T","rcs"
"1328",640,0.970044058392486,"T","rcs"
"1329",641,0.965549152376748,"T","rcs"
"1330",642,0.966665407974223,"T","rcs"
"1331",643,0.969233547511812,"T","rcs"
"1332",644,0.966986131374083,"T","rcs"
"1333",645,0.965041394543077,"T","rcs"
"1334",646,1.0143967081588,"T","rcs"
"1335",647,0.979776157311388,"T","rcs"
"1336",648,0.983219118378446,"T","rcs"
