"","ID","BirthYear","PO"
"570","00241161","1849",0.1
"571","00230392","1839",1.6
"572","00230022","1853",0.1
"573","00230351","1853",0.1
"574","00260750","1856",0.1
"575","00241131","1860",0.1
"576","00241172","1863",0.1
"577","00240072","1877",0.1
"578","BC00002Z","1889",0.1
"579","BC00026Z","1900",0.1
"580","BC00014Z","1946",0.1
"581","BC00032Z","1950",0.1
"582","BC00013Z","1952",0.1
"583","BC00030Z","1957",0.1
"584","BC00012Z","1969",0.1
"585","TORN001","1963",0.1
"586","TORN002","1956",0.1
"587","TORN003","1957",0.3
"588","TORN004","1952",0.4
"589","TORN005","1962",0.4
"590","TORN006","1957",0.6
"591","TORN007","1944",0.3
"592","TORN008","1964",0.3
"593","TORN009","1962",0.1
"594","TORN010","1947",0.1
"595","TORN011","1961",0.1
"596","TORN012","1961",0.2
"597","TORN013","1946",0.5
"598","TORN014","1936",0.3
"599","TORN051","1741",1.5
"600","TORN052","1790",0.8
"601","TORN053","1782",1
"602","TORN054","1778",0.2
"603","TORN055","1785",0.2
"604","TORN061","1953",0.2
"605","TORN062","1950",0.2
"606","TORN063","1953",0.1
"607","TORN064","1952",0.3
"608","TORN065","1951",0.1
"609","TORN201","1782",0.8
"610","TORN202","1804",3.8
"611","TORN203","1814",1.3
"612","TORN204","1801",2.4
"613","TORN205","1794",0.5
"614","TORN206","1798",0.3
"615","TORN207","1893",1.3
"616","TORN208","1785",0.4
"617","TORN209","1789",0.2
"618","TORN210","1780",2.2
"619","TORN101","1771",0.1
"620","TORN221","1797",0.4
"621","TORN222","1818",0.8
"622","TORN223","1812",0.6
"623","TORN225","1783",1.1
"624","TORN229","1809",1.5
"625","TORN230","1817",0.9
"626","TORN231","1912",2.2
"627","TORN232","1831",0.1
"628","TORN234","1924",0.1
"629","TORN236","1817",0.8
"630","TORN237","1791",1.8
"631","TORN238","1788",2.1
"632","TORN239","1826",0.1
"633","TORN242","1827",0.8
"634","TORN243","1822",0.6
"635","TORN244","1800",0.6
"636","TORN245","1820",1.7
"637","TORN246","1911",0.4
"638","TORN248","1828",1.2
"639","TORN250","1810",0.9
"640","TORN227","1942",0.5
"641","TORN235","1941",0.2
"642","TORN240","1946",1.3
"643","TORN241","1945",0.6
"644","TORN247","1944",0.3
"645","TORN251","1972",0.1
"646","TORN252","1946",0.1
"647","TORN253","1946",0.1
"648","TORN254","1940",0.1
"649","TORN258","1949",0.1
