"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice","sigma_best","Rsq_best","adj.Rsq_best","wAIC_best","wAICc_best","wBIC_best"
"2290",2470,2470,"cana269.rwl",7801,789,0.204635996212347,3215.20361642798,326.631949377393,1307.82257468286,0.898410182263892,0.886993642563942,-1037.64514936571,-859.835992326776,4455.37853899946,"multiplicative","lnorm",TRUE,TRUE,TRUE,0,32.8044939885202,4037.15068661958,0.999999999999992,7.52652670488648e-08,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2291",2470,2470,"cana269.rwl",7801,727,54.2197128296882,31526517.3859762,22930262.6228041,-42218.3800138693,0.272667439220418,0.198021773525482,85890.7600277387,86040.4153366599,90952.1392691094,"additive","norm",FALSE,TRUE,TRUE,86928.4051771044,86933.0558229752,90533.9114167295,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2292",2470,2470,"cana269.rwl",7801,727,0.54874606592533,3215.20361642798,2348.75350997451,-6387.10740460065,0.269485298544197,0.194513051829903,14228.2148092013,14377.8701181226,19289.594050572,"multiplicative","lnorm",FALSE,TRUE,TRUE,15265.859958567,15270.5106044379,18871.3661981921,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2293",2470,2470,"cana269.rwl",7801,314,15.3352469565483,31526517.3859762,1834324.43390291,-32366.5700835051,0.941816458461128,0.939384049151436,65361.1401670103,65387.5654942879,67547.210430821,"additive","norm",TRUE,FALSE,TRUE,66398.785316376,66280.2059806032,67128.9825784411,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2294",2470,2470,"cana269.rwl",7801,314,0.232055607265372,3215.20361642798,420.028477933744,326.8916271894,0.869361779830173,0.863900344954634,-25.7832543788005,0.642072898784317,2160.28700943193,"multiplicative","lnorm",TRUE,FALSE,TRUE,1011.86189498691,893.28255921408,1742.05915705204,1.8922620499353e-220,1.06207905367645e-194,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2295",2470,2470,"cana269.rwl",7801,252,63.0476515085495,31526517.3859762,31005049.6137994,-43395.1317347127,0.016540608205864,-0.0161588628949876,87294.2634694253,87311.1569511423,89048.6892862416,"additive","norm",FALSE,FALSE,TRUE,88331.908618791,88203.7974374576,88630.4614338617,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2296",2470,2470,"cana269.rwl",7801,252,0.635024227639874,3215.20361642798,3145.39500357903,-7526.26681438374,0.0217120348124371,-0.0108154892651995,15556.5336287675,15573.4271104845,17310.9594455837,"multiplicative","lnorm",FALSE,FALSE,TRUE,16594.1787781332,16466.0675967998,16892.7315932038,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2297",2470,2470,"cana269.rwl",7801,539,13.350418761719,31526517.3859762,1390222.71268342,-31285.3035130138,0.955903067387271,0.952636178135598,63648.6070260277,63728.777801403,67401.1289119958,"additive","norm",TRUE,TRUE,FALSE,64686.2521753934,64621.4182877183,66982.9010596159,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2298",2470,2470,"cana269.rwl",7801,539,0.21218009775217,3215.20361642798,351.159072280538,1025.40563084529,0.890781700267348,0.882690341790872,-972.811261690589,-892.640486315296,2779.71062427751,"multiplicative","lnorm",TRUE,TRUE,FALSE,64.8338876751259,0,2361.48277189762,8.34641877254463e-15,0.999999924734733,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
"2299",2470,2470,"cana269.rwl",7801,477,54.8570211779249,31526517.3859762,23472483.6256193,-42309.5396739849,0.255468552449104,0.207080107742082,85573.0793479698,85635.3505482975,88893.9567869434,"additive","norm",FALSE,TRUE,FALSE,86610.7244973355,86527.9910346128,88475.7289345635,0,0,0,2,1,1,2,2,10,14,0.204635996212347,0.95888286378407,0.95426217021046,0.999999999999992,0.999999924734733,1
