"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice"
"52",2588,2588,"aust008l.rwl",1031,160.354674581698,0.652818845476196,716.297581419904,438.957618359139,-1022.74989684893,0.387185396481444,0.275021615350829,2366.20914286127,2425.71380660988,3158.08614428765,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"53",2589,2589,"aust008n.rwl",1031,167.544935586252,NA,194.132677538919,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"54",2589,2589,"aust008n.rwl",1031,162.765000201497,0.370868406193833,194.132677538919,141.669675954137,-439.768500785065,0.270243022709378,0.134278522768858,1205.06700197312,1266.53871447778,2008.84687700919,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"55",2590,2590,"aust008p.rwl",1031,167.241289896283,NA,659.265800899091,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"56",2590,2590,"aust008p.rwl",1031,160.51341061979,0.671155030752403,659.265800899091,463.962547563386,-1051.30909452226,0.296243568329125,0.167282835296622,2423.6450102841,2483.27805975504,3216.30589542445,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"57",2592,2592,"aust008x.rwl",1031,167.914868208056,NA,236.434572820655,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"58",2592,2592,"aust008x.rwl",1031,162.955834124069,0.377575081459505,236.434572820655,146.839830403326,-458.246227945783,0.378940953298273,0.263066508306894,1242.4041241397,1304.03318701957,2047.12639137464,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"59",2593,2593,"aust109.rwl",4951,194.000000031651,NA,2746.92702648824,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"60",2593,2593,"aust109.rwl",4951,158.000000024401,0.48382409106753,2746.92702648824,1158.72446793174,-3430.07090565024,0.57817428102082,0.564356914467438,7176.14181134928,7186.62678631083,8204.30229865517,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"61",2594,2594,"aust109e.rwl",4961,194.000000066104,NA,2399.51962959675,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"62",2594,2594,"aust109e.rwl",4961,159.037234885801,0.459670565035119,2399.51962959675,1048.03326066414,-3182.94058121402,0.563232053725575,0.54885759855124,6683.95563219965,6694.5584552417,7719.18666292902,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"63",2595,2595,"aust109l.rwl",4961,200.152704823816,NA,3600.19895085108,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"64",2595,2595,"aust109l.rwl",4961,164.090792905033,0.5588252963583,3600.19895085108,1548.93713077571,-4151.9569624349,0.56976346254155,0.555135789804482,8632.09551067986,8643.39258822629,9700.22198303871,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"65",2596,2596,"aust110.rwl",3087,217.772431705326,NA,2315.76300267239,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"66",2596,2596,"aust110.rwl",3087,199.693647832911,0.477806170145695,2315.76300267239,704.529900003611,-2099.85899909992,0.695767701966658,0.674831570599973,4599.10529386566,4626.87590567376,5804.24747721605,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"67",2597,2597,"aust110e.rwl",3087,218.351791822323,NA,2078.73351493484,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"68",2597,2597,"aust110e.rwl",3087,199.964409496436,0.461112382677684,2078.73351493484,656.15960650952,-1990.07492231631,0.684346453359565,0.662592713392052,4380.07866362549,4407.92705857044,5586.85488143762,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"69",2598,2598,"aust110l.rwl",3087,217.139686839976,NA,2756.36116849057,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"70",2598,2598,"aust110l.rwl",3087,198.137011892491,0.54056359752948,2756.36116849057,901.756983177805,-2480.81685863396,0.672845128756613,0.650519966916645,5357.9077410529,5385.23342281555,6553.65569651333,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"71",2599,2599,"aust111.rwl",3869,258.662027463223,NA,3260.84968492714,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"72",2599,2599,"aust111.rwl",3869,239.563288535624,0.496339343752635,3260.84968492714,952.89241439849,-2779.15638410824,0.707777878016545,0.688570084646563,6037.43934528772,6069.20516461176,7537.28552852364,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"73",2600,2600,"aust111e.rwl",3868,258.706469816663,NA,2945.1194176149,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"74",2600,2600,"aust111e.rwl",3868,239.618577831234,0.468979809202528,2945.1194176149,850.515951587085,-2559.12181183275,0.711211726594138,0.692219719118459,5597.48077932796,5629.27047812684,7097.61117414263,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"75",2601,2601,"aust111l.rwl",3872,258.692065677248,NA,3204.51544062109,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"76",2601,2601,"aust111l.rwl",3872,239.598621927418,0.525203464766624,3204.51544062109,1067.7715279685,-3000.17994349696,0.666791579646267,0.644904386674989,6479.55713084876,6511.3063605536,7979.81023904663,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"77",2602,2602,"aust112.rwl",6390,250.517840791326,NA,2833.41076187275,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"78",2602,2602,"aust112.rwl",6390,211.740187632396,0.567523832115366,2833.41076187275,2057.79020382082,-5446.75772474956,0.273740951537602,0.248968285319145,11316.9958247639,11331.5801707731,12748.8866303865,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"79",2604,2604,"brit001.rwl",1019,194.43311611978,NA,502.937968282456,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"80",2604,2604,"brit001.rwl",1019,185.304711294659,0.526064294602146,502.937968282456,281.725027612248,-790.862219733359,0.439841401168526,0.316007345446348,1952.33386205603,2035.2528870765,2865.25179686827,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"81",2605,2605,"brit002.rwl",1726,247.20612718098,NA,820.258674526983,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"82",2605,2605,"brit002.rwl",1726,235.038673210193,0.488445657347379,820.258674526983,411.549051313111,-1211.86220688911,0.498269187399404,0.419511669293591,2893.8017601986,2968.27109786543,4175.59970677935,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"83",2606,2606,"brit003.rwl",1857,186.900708839661,NA,805.760245580145,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"84",2606,2606,"brit003.rwl",1857,174.874545711047,0.50504944130357,805.760245580145,473.419085226905,-1365.95410428852,0.412456636048053,0.351724640564476,3081.65729999913,3118.24705147174,4048.13952281395,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"85",2607,2607,"brit004.rwl",1750,185.243476486872,NA,757.01126375281,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
